Keyword,Min Monthly Volume,Max Monthly Volume,Relevancy,Monthly Volume,Search Intent,Difficulty,Last Updated,search_volume_level,difficulty_level
gym workouts for women,1701.0,2900.0,0.2672360952577004,2700.0,informational,53.0,2023-07-15,ideal,medium
gym workouts,1701.0,2900.0,0.2670033944457025,1919.0,commercial,57.0,2024-07-07,ideal,medium
workout routine for weight loss,1701.0,2900.0,0.2669680410217156,1825.0,informational,52.0,2024-05-26,ideal,medium
workout in the gym for women,1701.0,2900.0,0.2669680410217156,1825.0,informational,47.0,2024-01-07,ideal,medium
free weight loss programs,1701.0,2900.0,0.2669497242671826,1779.0,commercial,60.0,2024-08-29,ideal,medium
workout schedule for women,851.0,1700.0,0.2667989950734699,1450.0,informational,50.0,2023-09-25,ideal,medium
beginner gym workout female,851.0,1700.0,0.2667989950734699,1450.0,commercial,39.0,2024-08-24,ideal,medium
strength training workout plan,851.0,1700.0,0.2666632778311596,1216.0,commercial,51.0,2024-07-26,ideal,medium
gym routines,851.0,1700.0,0.2666528290729033,1200.0,commercial,55.0,2024-02-20,ideal,medium
gym routine for weight loss,851.0,1700.0,0.26664287486277904,1185.0,commercial,53.0,2024-07-24,ideal,medium
workout for women,851.0,1700.0,0.2665848089996135,1103.0,commercial,58.0,2024-08-25,ideal,medium
gym workout routines for women,851.0,1700.0,0.2664628469563323,950.0,commercial,40.0,2024-08-24,ideal,medium
gym workout chart,851.0,1700.0,0.2664467976136989,932.0,commercial,55.0,2024-08-24,ideal,medium
women workout plan,851.0,1700.0,0.26639719406417833,880.0,commercial,46.0,2024-08-25,ideal,medium
free workout programs,501.0,850.0,0.2663426443357509,825.0,informational,50.0,2024-08-24,ideal,medium
strength training program pdf,501.0,850.0,0.2663158501420074,800.0,informational,42.0,2024-03-10,ideal,medium
free workout,501.0,850.0,0.2663158501420074,800.0,navigational,57.0,2024-07-31,ideal,medium
best workout programs,501.0,850.0,0.2663158501420074,800.0,commercial,51.0,2024-07-15,ideal,medium
best strength training program,501.0,850.0,0.38025634430727023,641.0,commercial,48.0,2024-08-15,ideal,medium
how long does it take to see results from working out 5 days a week,501.0,850.0,0.38025634430727023,638.0,informational,50.0,2024-09-03,ideal,medium
workout plans for weight loss,501.0,850.0,0.26605161948069816,598.0,informational,51.0,2024-06-22,ideal,medium
weight loss workout plans,501.0,850.0,0.26603083216738355,585.0,informational,51.0,2024-06-22,ideal,medium
gym training,501.0,850.0,0.2659874460723175,559.0,navigational,59.0,2024-08-09,ideal,medium
fat burning exercises for men,201.0,500.0,0.26586273093657725,492.0,informational,58.0,2024-07-23,backup,medium
weight loss gym routine female,201.0,500.0,0.2657592605979095,444.0,"informational,commercial",43.0,2024-07-31,backup,medium
strength program,201.0,500.0,0.2657592605979095,444.0,"informational,commercial",47.0,2024-03-10,backup,medium
fat loss workout plan,201.0,500.0,0.2657592605979095,444.0,informational,51.0,2024-06-22,backup,medium
best online workout programs,201.0,500.0,0.2657592605979095,444.0,commercial,54.0,2024-07-31,backup,medium
diet and workout plan,201.0,500.0,0.2657499977824491,440.0,commercial,51.0,2024-08-27,backup,medium
strength workout plan,201.0,500.0,0.26574062682116384,436.0,commercial,53.0,2024-03-10,backup,medium
workout routines for weight loss,201.0,500.0,0.2656022451523751,383.0,commercial,57.0,2024-03-10,backup,medium
gym workout plan for weight loss,201.0,500.0,0.2655651504172972,369.0,commercial,49.0,2024-03-26,backup,medium
workout plan generator,201.0,500.0,0.38025634430727023,365.0,commercial,35.0,2024-08-25,backup,medium
gym workout schedule,201.0,500.0,0.26554745933177,363.0,commercial,56.0,2024-07-15,backup,medium
weight loss workout program,201.0,500.0,0.26553847234721323,360.0,commercial,51.0,2024-06-22,backup,medium
strength training program for women,201.0,500.0,0.26553847234721323,360.0,commercial,44.0,2024-08-12,backup,medium
free workout plans for women,201.0,500.0,0.26553847234721323,360.0,commercial,46.0,2024-04-26,backup,medium
women workouts,201.0,500.0,0.2655324273992598,358.0,informational,59.0,2023-08-23,backup,medium
gym schedule for women,201.0,500.0,0.2655651504172972,346.0,commercial,52.0,2024-08-10,backup,medium
cutting diet plan pdf,201.0,500.0,0.38025634430727023,336.0,informational,22.0,2023-08-31,backup,easy
strength training workout for women,201.0,500.0,0.2656536434649205,314.0,commercial,46.0,2023-12-04,backup,medium
building muscle after 40,201.0,500.0,0.9432418144291314,500.0,informational,31.0,2024-04-24,ideal,medium
building muscle mass after 60,501.0,850.0,0.6760815948998691,521.0,informational,43.0,2024-07-05,ideal,medium
45 year old man workout plan,501.0,850.0,0.5505291001393046,744.0,informational,31.0,2024-07-31,ideal,medium
over 40 workout plan at home,201.0,500.0,0.4545791494051429,358.0,informational,43.0,2024-08-09,backup,medium
muscle loss with age chart,201.0,500.0,0.4765724749776288,357.0,informational,54.0,2024-07-04,backup,medium
best workout for 40 year old man,201.0,500.0,0.4400960623030156,346.0,informational,43.0,2024-06-15,backup,medium
bodybuilding supplements,2901.0,4300.0,0.27928023982676065,3346.0,commercial,40.0,2024-08-06,ideal,medium
muscle building workouts,1701.0,2900.0,0.28636530949113465,2200.0,commercial,47.0,2024-08-07,ideal,medium
best supplements for muscle growth,1701.0,2900.0,0.28636530949113465,1919.0,commercial,60.0,2024-08-06,ideal,medium
best workout supplements for men,851.0,1700.0,0.28636530949113465,1185.0,commercial,50.0,2024-07-30,ideal,medium
how to build muscle women,851.0,1700.0,0.2678299739975786,932.0,informational,41.0,2024-07-23,ideal,medium
best protein supplement for muscle gain,501.0,850.0,0.28636530949113465,812.0,commercial,55.0,2024-08-06,ideal,medium
best bodybuilding supplements,501.0,850.0,0.28636530949113465,810.0,commercial,50.0,2024-08-06,ideal,medium
how to gain muscle fast for skinny guys,501.0,850.0,0.2722537475897281,800.0,informational,44.0,2024-07-12,ideal,medium
how to build muscle for women,501.0,850.0,0.26772238805448284,800.0,informational,33.0,2024-07-23,ideal,medium
how to build muscles at home,501.0,850.0,0.28636530949113465,650.0,informational,60.0,2024-08-12,ideal,medium
fitness over 40,501.0,850.0,0.25964355245543597,510.0,informational,56.0,2024-07-31,ideal,medium
can a 65 year old man build muscle,201.0,500.0,0.28636530949113465,470.0,informational,53.0,2024-06-03,backup,medium
muscle building for seniors,201.0,500.0,0.28636530949113465,457.0,informational,36.0,2024-07-04,backup,medium
lean muscle female,201.0,500.0,0.2672558218761199,440.0,informational,29.0,2024-06-10,backup,easy
how to build lean muscle for females,201.0,500.0,0.26724807234020603,436.0,informational,24.0,2024-08-09,backup,easy
40 year old male weight loss workout,201.0,500.0,0.28636530949113465,420.0,commercial,33.0,2024-07-31,backup,medium
top 10 muscle building pills,201.0,500.0,0.28636530949113465,400.0,commercial,54.0,2024-08-04,backup,medium
getting in shape at 40 female,201.0,500.0,0.28636530949113465,383.0,informational,48.0,2024-07-31,backup,medium
best supplements for men over 50,201.0,500.0,0.28636530949113465,360.0,informational,43.0,2024-07-30,backup,medium
how to build lean muscle women,201.0,500.0,0.26724807234020603,354.0,informational,30.0,2024-06-03,backup,easy
how to start getting fit after 40,201.0,500.0,0.28636530949113465,310.0,informational,51.0,2024-07-31,backup,medium
build muscle workout,1701.0,2900.0,0.0107079120065541,1825.0,informational,51.0,2024-07-12,ideal,medium
how to gain weight and muscle,851.0,1700.0,0.009835425180542428,1496.0,informational,58.0,2024-08-04,ideal,medium
building muscle diet,851.0,1700.0,0.0107079120065541,1472.0,informational,59.0,2023-08-31,ideal,medium
building muscle fast,851.0,1700.0,0.0107079120065541,966.0,informational,60.0,2024-07-13,ideal,medium
build muscle fast,851.0,1700.0,0.0107079120065541,966.0,informational,57.0,2024-07-11,ideal,medium
muscle weight gain,501.0,850.0,0.009835425180542428,660.0,informational,49.0,2024-08-06,ideal,medium
how to gain muscle weight,201.0,500.0,0.009835425180542428,500.0,informational,60.0,2024-08-03,ideal,medium
build muscle lose fat,201.0,500.0,0.0107079120065541,453.0,informational,56.0,2024-07-12,backup,medium
what exercise burns the most belly fat?,851.0,1700.0,0.457301409153261,907.0,informational,56.0,2024-09-01,ideal,medium
build muscle burn fat,501.0,850.0,0.4487482852335374,510.0,informational,51.0,2024-07-31,ideal,medium
burn fat build muscle,501.0,850.0,0.4479730558221552,510.0,informational,52.0,2024-07-31,ideal,medium
lose fat gain muscle female,201.0,500.0,0.4634500601123544,395.0,informational,47.0,2024-04-16,backup,medium
body recomposition,9301.0,11500.0,0.26752142935294165,10975.0,informational,50.0,2024-08-24,ideal,medium
how to get skinny,4301.0,6500.0,0.26707103717307124,5018.0,informational,59.0,2024-08-18,ideal,medium
how to lose fat and gain muscle,4301.0,6500.0,0.2695203964254004,4950.0,informational,52.0,2024-08-22,ideal,medium
weight lifting to lose weight,4301.0,6500.0,0.2670625452392367,4950.0,informational,57.0,2024-07-29,ideal,medium
weight lifting for weight loss,4301.0,6500.0,0.2670625452392367,4950.0,informational,57.0,2024-07-29,ideal,medium
how to get lean,2901.0,4300.0,0.26679889473622603,3300.0,informational,31.0,2024-08-26,ideal,medium
my muscle video,2901.0,4300.0,0.26677986823029115,3209.0,navigational,34.0,2023-12-09,ideal,medium
how to gain muscle and lose fat,1701.0,2900.0,0.26938802094095154,2783.0,informational,54.0,2024-07-31,ideal,medium
how to be skinny,1701.0,2900.0,0.2666694109120047,2737.0,informational,59.0,2024-08-23,ideal,medium
how long does it take to lose weight,1701.0,2900.0,0.38025634430727023,2268.0,informational,57.0,2024-08-23,ideal,medium
exercise to reduce belly fat for female at home,1701.0,2900.0,0.38025634430727023,2268.0,informational,60.0,2024-07-22,ideal,medium
fat to fit,1701.0,2900.0,0.2672467899920283,2231.0,transactional,55.0,2023-12-27,ideal,medium
how to build muscle fast,1701.0,2900.0,0.2665217454048568,2231.0,informational,56.0,2024-08-26,ideal,medium
weight training for weight loss,1701.0,2900.0,0.2663699381824328,1825.0,informational,56.0,2024-06-22,ideal,medium
weight lifting exercises,1701.0,2900.0,0.2663699381824328,1825.0,commercial,60.0,2024-08-21,ideal,medium
lose fat gain muscle,1701.0,2900.0,0.26928126323131885,1800.0,informational,55.0,2024-06-22,ideal,medium
strength training for weight loss,1701.0,2900.0,0.2663592585232961,1800.0,informational,50.0,2024-06-29,ideal,medium
how to lose weight and gain muscle,1701.0,2900.0,0.2693284752330525,1752.0,informational,57.0,2024-06-03,ideal,medium
how to gain weight and muscle,851.0,1700.0,0.2662127068243007,1496.0,informational,58.0,2024-08-04,ideal,medium
muscle gain diet,851.0,1700.0,0.26619959353461337,1472.0,commercial,58.0,2024-01-09,ideal,medium
building muscle diet,851.0,1700.0,0.26619959353461337,1472.0,informational,59.0,2023-08-31,ideal,medium
lifting weights to lose weight,851.0,1700.0,0.2661425706700777,1374.0,informational,58.0,2024-01-07,ideal,medium
fat loss workouts,851.0,1700.0,0.2660295723539581,1200.0,commercial,56.0,2024-04-29,ideal,medium
bodybuilding calorie calculator,851.0,1700.0,0.2660295723539581,1200.0,informational,49.0,2024-08-28,ideal,medium
gym routine for weight loss,851.0,1700.0,0.26601883207283433,1185.0,commercial,53.0,2024-07-24,ideal,medium
best weight gainer for men,851.0,1700.0,0.2648988108117729,1098.0,commercial,52.0,2024-03-11,ideal,medium
weight lifting for weight loss female,851.0,1700.0,0.265890871164981,1023.0,informational,50.0,2024-07-29,ideal,medium
how to build muscle and lose fat,851.0,1700.0,0.26911784144044226,966.0,informational,55.0,2024-07-31,ideal,medium
building muscle fast,851.0,1700.0,0.2658397140206097,966.0,informational,60.0,2024-07-13,ideal,medium
build muscle fast,851.0,1700.0,0.2658397140206097,966.0,informational,57.0,2024-07-11,ideal,medium
best weight gainers,851.0,1700.0,0.2658397140206097,966.0,commercial,54.0,2023-12-03,ideal,medium
does fat turn into muscle,851.0,1700.0,0.2684026074571593,950.0,informational,44.0,2024-07-31,ideal,medium
gaining muscle weight,851.0,1700.0,0.2658160760245103,941.0,informational,58.0,2024-07-31,ideal,medium
body recomposition diet,851.0,1700.0,0.2658160760245103,941.0,informational,35.0,2024-08-24,ideal,medium
does muscle burn fat,501.0,850.0,0.2690741971607811,825.0,informational,60.0,2024-07-31,ideal,medium
lose fat and gain muscle,501.0,850.0,0.2690690601951629,810.0,informational,53.0,2024-04-16,ideal,medium
how to turn fat into muscle,501.0,850.0,0.2690690601951629,810.0,informational,47.0,2024-07-31,ideal,medium
gain muscle and lose fat,501.0,850.0,0.2690690601951629,810.0,informational,54.0,2024-06-20,ideal,medium
lose weight and gain muscle,501.0,850.0,0.26906557507766005,800.0,informational,58.0,2024-03-13,ideal,medium
gain muscle fast,501.0,850.0,0.26563133027384017,771.0,informational,56.0,2024-04-21,ideal,medium
muscle weight gain,501.0,850.0,0.2664347683536644,660.0,informational,49.0,2024-08-06,ideal,medium
how to lose muscle,501.0,850.0,0.2664347683536644,660.0,informational,47.0,2024-08-16,ideal,medium
weight loss workout plan for men,501.0,850.0,0.2654806122863117,660.0,informational,43.0,2024-08-23,ideal,medium
recomposition,501.0,850.0,0.2654654831002189,650.0,informational,46.0,2023-08-02,ideal,medium
lean muscle workout,501.0,850.0,0.2654654831002189,650.0,informational,40.0,2024-05-29,ideal,medium
how to get buff,501.0,850.0,0.2654654831002189,650.0,informational,52.0,2023-08-14,ideal,medium
fat burning workout for men,501.0,850.0,0.2654654831002189,650.0,commercial,56.0,2024-07-23,ideal,medium
weight loss workout plans,501.0,850.0,0.26535942813127056,585.0,informational,51.0,2024-06-22,ideal,medium
build muscle and lose fat,501.0,850.0,0.26926415018005034,559.0,informational,54.0,2024-06-20,ideal,medium
can you lose fat and gain muscle at the same time,501.0,850.0,0.2689623831362953,559.0,informational,52.0,2024-08-22,ideal,medium
dumbbell workout for weight loss,501.0,850.0,0.2656037121184664,523.0,informational,46.0,2023-12-22,ideal,medium
meal plan for weight loss and muscle gain male,501.0,850.0,0.26523532424423263,519.0,informational,44.0,2024-08-14,ideal,medium
fast muscle growth,501.0,850.0,0.2652168570036355,510.0,informational,55.0,2024-08-21,ideal,medium
how to burn fat and gain muscle,201.0,500.0,0.26892920235577256,500.0,informational,52.0,2024-07-28,ideal,medium
muscle burn,201.0,500.0,0.2662174183372836,500.0,informational,24.0,2023-07-28,ideal,easy
how to gain muscle weight,201.0,500.0,0.2662174183372836,500.0,informational,60.0,2024-08-03,ideal,medium
best supplements for muscle gain and weight loss,201.0,500.0,0.2662174183372836,500.0,informational,43.0,2024-08-17,ideal,medium
how to get leaner,201.0,500.0,0.2651271740314614,470.0,informational,44.0,2024-08-04,backup,medium
build muscle lose fat,201.0,500.0,0.26920996314355244,453.0,informational,56.0,2024-07-12,backup,medium
best supplements for bulking,201.0,500.0,0.26506745249131275,448.0,commercial,43.0,2024-06-30,backup,medium
how to get muscle fast,201.0,500.0,0.2669302280845845,444.0,informational,57.0,2024-07-22,backup,medium
how to get muscles fast,201.0,500.0,0.26506745249131275,444.0,informational,51.0,2024-08-19,backup,medium
best meals for muscle gain,201.0,500.0,0.26506745249131275,444.0,commercial,56.0,2024-04-23,backup,medium
best chest exercises for mass,201.0,500.0,0.26506745249131275,444.0,informational,53.0,2024-08-11,backup,medium
lose fat gain muscle diet,201.0,500.0,0.2685252885041786,440.0,informational,48.0,2024-07-31,backup,medium
can you build muscle on a calorie deficit,201.0,500.0,0.2661125422766212,440.0,informational,34.0,2024-08-22,backup,medium
how to build lean muscle for females,201.0,500.0,0.2650474324312645,436.0,informational,24.0,2024-08-09,backup,easy
how to lose belly fat and gain muscle,201.0,500.0,0.38025634430727023,432.0,informational,49.0,2024-04-16,backup,medium
workout plans for men to build muscle,201.0,500.0,0.2649898761059439,414.0,commercial,47.0,2024-08-24,backup,medium
best supplements for cutting,201.0,500.0,0.2659533904938698,412.0,informational,36.0,2024-01-21,backup,medium
best weight gainer for women,201.0,500.0,0.2648589876523344,369.0,commercial,51.0,2024-05-19,backup,medium
best supplements for weight loss and muscle gain,201.0,500.0,0.26594135802441404,360.0,commercial,38.0,2024-08-20,backup,medium
resistance training for weight loss,201.0,500.0,0.2648303516460844,360.0,commercial,54.0,2024-08-09,backup,medium
how to lose weight without losing muscle,201.0,500.0,0.2648303516460844,360.0,informational,52.0,2024-08-16,backup,medium
does lifting weights burn belly fat,201.0,500.0,0.2648303516460844,360.0,informational,56.0,2024-08-14,backup,medium
how to recomp,201.0,500.0,0.2648206020863855,357.0,informational,49.0,2024-08-24,backup,medium
how to gain lean muscle,201.0,500.0,0.2648206020863855,357.0,informational,57.0,2024-06-10,backup,medium
how to build lean muscle women,201.0,500.0,0.2650474324312645,354.0,informational,30.0,2024-06-03,backup,easy
how to cut bodybuilding,201.0,500.0,0.26469848122061795,322.0,informational,46.0,2024-08-27,backup,medium
fastest way to lose body fat,201.0,500.0,0.2646288338708854,304.0,informational,59.0,2024-08-10,backup,medium
beer belly,9301.0,11500.0,0.9760046306620171,11251.0,informational,54.0,2024-07-17,ideal,medium
how to get rid of beer belly,851.0,1700.0,0.8280897564113833,1472.0,informational,54.0,2023-08-14,ideal,medium
what exercise burns the most belly fat?,851.0,1700.0,0.457301409153261,907.0,informational,56.0,2024-09-01,ideal,medium
exercises to lose belly fat,11501.0,30300.0,0.28636530949113465,20250.0,informational,59.0,2024-08-22,ideal,medium
fat belly,2901.0,4300.0,0.26625512576897736,3346.0,informational,59.0,2024-07-17,ideal,medium
weight loss for men,1701.0,2900.0,0.26594805279196665,2231.0,informational,59.0,2024-08-25,ideal,medium
weight loss men,1701.0,2900.0,0.26594805279196665,2231.0,informational,54.0,2023-10-25,ideal,medium
male weight loss,851.0,1700.0,0.2654214657416178,1200.0,informational,52.0,2023-10-25,ideal,medium
detox alcohol,851.0,1700.0,0.27928023982676065,1074.0,informational,53.0,2024-08-26,ideal,medium
fat belly man,851.0,1700.0,0.2662347327067376,966.0,informational,54.0,2023-10-25,ideal,medium
how to get rid of alcohol bloat,501.0,850.0,0.2659486500225821,691.0,informational,33.0,2024-07-20,ideal,medium
what relieves bloating fast?,501.0,850.0,0.386685746352413,611.0,informational,55.0,2024-07-29,ideal,medium
men's weight loss,501.0,850.0,0.2646037757510459,534.0,informational,52.0,2024-03-26,ideal,medium
how to lose weight men,201.0,500.0,0.26414302629659625,360.0,informational,57.0,2024-07-05,backup,medium
best way to lose weight for men,201.0,500.0,0.26414302629659625,360.0,informational,60.0,2024-08-26,backup,medium
how to lose belly fat over 50 years old male,201.0,500.0,0.2640936757779893,346.0,informational,56.0,2024-08-22,backup,medium
lose belly fat after 50,201.0,500.0,0.2615579389238956,330.0,informational,55.0,2023-11-04,backup,medium
fat man belly,201.0,500.0,0.2640493024052562,304.0,informational,52.0,2023-09-04,backup,medium
online personal trainer,2901.0,4300.0,0.9661751720149616,3300.0,commercial,44.0,2024-08-28,ideal,medium
workout routine at home,1701.0,2900.0,0.8367908380448177,2737.0,informational,59.0,2024-08-27,ideal,medium
online fitness coach,851.0,1700.0,0.9600204909076182,950.0,informational,46.0,2024-08-28,ideal,medium
virtual personal trainer,501.0,850.0,0.6274778301995343,826.0,commercial,42.0,2024-08-28,ideal,medium
personal trainer and nutritionist,501.0,850.0,0.6213838807720474,641.0,transactional,38.0,2024-08-28,ideal,medium
weight loss trainer,201.0,500.0,0.7984340963557133,406.0,commercial,50.0,2023-09-30,backup,medium
what exercise burns the most belly fat?,851.0,1700.0,0.4495369891274706,907.0,informational,56.0,2024-09-01,ideal,medium
cardio workouts,11501.0,30300.0,0.2944946639394312,20024.0,commercial,57.0,2024-08-30,ideal,medium
workout plans,11501.0,30300.0,0.28636530949113465,13734.0,informational,52.0,2024-08-25,ideal,medium
bodyweight workout,9301.0,11500.0,0.28636530949113465,10975.0,informational,55.0,2024-08-09,ideal,medium
cardio workouts at home,6501.0,9300.0,0.28636530949113465,7400.0,commercial,49.0,2024-08-30,ideal,medium
gym workout routines,4301.0,6500.0,0.2944946639394312,5018.0,commercial,49.0,2024-09-02,ideal,medium
best exercise to lose weight,4301.0,6500.0,0.28636530949113465,4434.0,informational,56.0,2024-08-28,ideal,medium
gym workout plan for beginners,2901.0,4300.0,0.28636530949113465,4005.0,informational,52.0,2024-08-24,ideal,medium
workout routines for beginners,2901.0,4300.0,0.2944946639394312,3346.0,informational,57.0,2024-08-24,ideal,medium
free workout plans,2901.0,4300.0,0.28636530949113465,3300.0,navigational,49.0,2024-08-28,ideal,medium
home exercises to lose weight,1701.0,2900.0,0.38025634430727023,2670.0,commercial,55.0,2024-08-31,ideal,medium
exercise to reduce belly fat for female at home,1701.0,2900.0,0.28636530949113465,2268.0,informational,60.0,2024-07-22,ideal,medium
beginner gym workout female,851.0,1700.0,0.28636530949113465,1450.0,commercial,39.0,2024-08-24,ideal,medium
best exercise to lose weight at home,851.0,1700.0,0.28636530949113465,1200.0,commercial,58.0,2024-08-31,ideal,medium
fitness coach,851.0,1700.0,0.28201753348377945,1145.0,navigational,40.0,2024-08-14,ideal,medium
list of exercises,851.0,1700.0,0.28636530949113465,981.0,informational,49.0,2024-08-27,ideal,medium
does stretching burn calories,501.0,850.0,0.28636530949113465,791.0,informational,40.0,2024-04-20,ideal,medium
at home workouts to lose weight,501.0,850.0,0.28636530949113465,664.0,commercial,54.0,2024-08-10,ideal,medium
weight loss workout plan for men,501.0,850.0,0.2944946639394312,660.0,informational,43.0,2024-08-23,ideal,medium
fat burning exercises for men,201.0,500.0,0.28636530949113465,492.0,informational,58.0,2024-07-23,backup,medium
how to lose body fat in a week,201.0,500.0,0.28636530949113465,470.0,informational,50.0,2024-08-25,backup,medium
weight loss workout plan for beginners,201.0,500.0,0.2944946639394312,444.0,informational,50.0,2024-08-23,backup,medium
weight loss gym routine female,201.0,500.0,0.2944946639394312,444.0,"informational,commercial",43.0,2024-07-31,backup,medium
exercise for beginners to lose weight,201.0,500.0,0.28636530949113465,436.0,informational,56.0,2024-06-24,backup,medium
best cardio for weight loss at home,201.0,500.0,0.28636530949113465,432.0,commercial,54.0,2024-08-27,backup,medium
best cardio for weight loss at the gym,201.0,500.0,0.28636530949113465,432.0,commercial,50.0,2024-08-18,backup,medium
workout for beginners at home female,201.0,500.0,0.28636530949113465,398.0,commercial,56.0,2024-09-01,backup,medium
exercise for weight loss at home for female,201.0,500.0,0.28636530949113465,369.0,commercial,60.0,2024-08-31,backup,medium
weight loss workout plan for the gym,201.0,500.0,0.28636530949113465,369.0,informational,47.0,2024-08-23,backup,medium
gym workout plan for weight loss beginners,201.0,500.0,0.2944946639394312,365.0,informational,47.0,2024-08-01,backup,medium
at home workout plan without equipment,201.0,500.0,0.28636530949113465,360.0,informational,58.0,2024-06-24,backup,medium
online personal training,2901.0,4300.0,0.935953255827653,3300.0,commercial,42.0,2024-08-07,ideal,medium
online personal trainer,2901.0,4300.0,0.8330260931587516,3300.0,commercial,42.0,2024-08-02,ideal,medium
online fitness coach,851.0,1700.0,0.8261909357368027,950.0,informational,47.0,2024-08-07,ideal,medium
virtual personal trainer,501.0,850.0,0.9569730041496122,784.0,commercial,38.0,2024-08-07,ideal,medium
online personal trainers,501.0,850.0,0.9418050382479836,546.0,commercial,42.0,2024-08-07,ideal,medium
personal trainers for hire,501.0,850.0,0.8182147607741144,510.0,transactional,47.0,2024-08-09,ideal,medium
fitness coach,851.0,1700.0,0.7399047133804696,1145.0,navigational,41.0,2024-08-12,ideal,medium
find a personal trainer,501.0,850.0,0.6674334577942727,660.0,transactional,48.0,2024-06-30,ideal,medium
personal trainer online,201.0,500.0,0.6298425313042719,436.0,commercial,48.0,2024-07-21,backup,medium
online trainer,201.0,500.0,0.6313500308003462,407.0,commercial,46.0,2023-10-02,backup,medium
personal training online,201.0,500.0,0.629575139335739,371.0,commercial,51.0,2023-10-02,backup,medium
personal trainer for weight loss,501.0,850.0,0.4892295099651162,513.0,informational,26.0,2024-01-05,ideal,easy
personal trainer near me,30301.0,70800.0,0.3851717546891413,55766.0,transactional,44.0,2024-08-09,ideal,medium
personal trainer,30301.0,70800.0,0.3891289191295673,45250.0,informational,49.0,2024-08-12,ideal,medium
personal trainer certification,11501.0,30300.0,0.2659486500225821,13734.0,informational,54.0,2024-07-28,ideal,medium
trainerize,6501.0,9300.0,0.2675125437844642,9050.0,navigational,57.0,2024-05-13,ideal,medium
personal trainer salary,4301.0,6500.0,0.2659486500225821,4950.0,informational,49.0,2024-06-16,ideal,medium
trainers near me,2901.0,4300.0,0.2670375031592228,4050.0,transactional,48.0,2024-04-12,ideal,medium
nutrition coach,1701.0,2900.0,0.2667584476076134,2670.0,informational,45.0,2024-06-10,ideal,medium
online personal training certification,1701.0,2900.0,0.27928023982676065,1825.0,"informational,transactional",50.0,2024-07-01,ideal,medium
online nutritionist,851.0,1700.0,0.2722537475897281,1435.0,informational,37.0,2024-04-15,ideal,medium
weight loss coach,851.0,1700.0,0.2661557203612348,1216.0,informational,35.0,2024-04-10,ideal,medium
at home personal trainer,851.0,1700.0,0.2661557203612348,1216.0,transactional,33.0,2023-06-27,ideal,medium
coach online,851.0,1700.0,0.2669494369322042,1200.0,navigational,53.0,2024-07-25,ideal,medium
